  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 27.1544, 'grad_norm': 1587057.625, 'learning_rate': 0.00021193887297039162, 'epoch': 0.0}
{'loss': 26.7917, 'grad_norm': 20605224.0, 'learning_rate': 0.00021327602674307543, 'epoch': 0.0}
{'loss': 28.0378, 'grad_norm': 5432550.0, 'learning_rate': 0.0002146131805157593, 'epoch': 0.0}
{'loss': 27.8769, 'grad_norm': 8374542.5, 'learning_rate': 0.0002159503342884432, 'epoch': 0.0}
{'loss': 27.2967, 'grad_norm': 4041890.5, 'learning_rate': 0.00021728748806112706, 'epoch': 0.0}
{'loss': 28.0665, 'grad_norm': 5163701.0, 'learning_rate': 0.00021862464183381087, 'epoch': 0.0}
{'loss': 27.3635, 'grad_norm': 42839820.0, 'learning_rate': 0.00021996179560649474, 'epoch': 0.0}
{'loss': 26.9262, 'grad_norm': 5508942.5, 'learning_rate': 0.0002212989493791786, 'epoch': 0.0}
{'loss': 26.6049, 'grad_norm': 2620757.5, 'learning_rate': 0.00022263610315186245, 'epoch': 0.0}
{'loss': 26.5934, 'grad_norm': 45594048.0, 'learning_rate': 0.0002239732569245463, 'epoch': 0.0}
{'loss': 27.0111, 'grad_norm': 4166837.75, 'learning_rate': 0.00022531041069723018, 'epoch': 0.0}
{'loss': 27.8625, 'grad_norm': 9174495.0, 'learning_rate': 0.00022664756446991405, 'epoch': 0.0}
{'loss': 27.767, 'grad_norm': 14510829.0, 'learning_rate': 0.0002279847182425979, 'epoch': 0.0}
{'loss': 27.3799, 'grad_norm': 16650928.0, 'learning_rate': 0.00022932187201528176, 'epoch': 0.0}
{'loss': 27.5876, 'grad_norm': 6669882.0, 'learning_rate': 0.00023065902578796562, 'epoch': 0.0}
{'loss': 26.7151, 'grad_norm': 147085328.0, 'learning_rate': 0.0002319961795606495, 'epoch': 0.0}
{'loss': 27.8179, 'grad_norm': 18234298.0, 'learning_rate': 0.00023333333333333333, 'epoch': 0.01}
{'loss': 26.9177, 'grad_norm': 40758172.0, 'learning_rate': 0.0002346704871060172, 'epoch': 0.01}
