  0%|                                                                          | 0/34883 [00:00<?, ?it/s]/home/melaichouni/miniconda3/envs/llava/lib/python3.10/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                         
{'loss': 19.605, 'grad_norm': 4938268.5, 'learning_rate': 9.449624592348393e-06, 'epoch': 0.18}
{'loss': 20.4173, 'grad_norm': 5497328.5, 'learning_rate': 9.449412830860494e-06, 'epoch': 0.18}
{'loss': 19.7085, 'grad_norm': 3444339.75, 'learning_rate': 9.449201031015613e-06, 'epoch': 0.18}
{'loss': 20.2073, 'grad_norm': 5464408.0, 'learning_rate': 9.448989192815579e-06, 'epoch': 0.18}
{'loss': 21.9712, 'grad_norm': 6839281.5, 'learning_rate': 9.448777316262215e-06, 'epoch': 0.18}
{'loss': 18.9674, 'grad_norm': 20293592.0, 'learning_rate': 9.448565401357349e-06, 'epoch': 0.18}
{'loss': 20.1636, 'grad_norm': 7294278.5, 'learning_rate': 9.448353448102807e-06, 'epoch': 0.18}
{'loss': 20.3494, 'grad_norm': 5329467.0, 'learning_rate': 9.448141456500417e-06, 'epoch': 0.18}
{'loss': 20.5402, 'grad_norm': 13922634.0, 'learning_rate': 9.447929426552007e-06, 'epoch': 0.18}
{'loss': 20.3603, 'grad_norm': 18368260.0, 'learning_rate': 9.447717358259405e-06, 'epoch': 0.18}
{'loss': 19.9857, 'grad_norm': 4413817.5, 'learning_rate': 9.447505251624436e-06, 'epoch': 0.18}
{'loss': 20.7174, 'grad_norm': 4834671.0, 'learning_rate': 9.447293106648932e-06, 'epoch': 0.18}
{'loss': 19.5111, 'grad_norm': 3607400.5, 'learning_rate': 9.44708092333472e-06, 'epoch': 0.18}
{'loss': 20.1161, 'grad_norm': 3987828.0, 'learning_rate': 9.446868701683632e-06, 'epoch': 0.18}
{'loss': 20.2137, 'grad_norm': 5171433.0, 'learning_rate': 9.446656441697492e-06, 'epoch': 0.18}
{'loss': 19.6795, 'grad_norm': 14480668.0, 'learning_rate': 9.446444143378135e-06, 'epoch': 0.18}
{'loss': 20.9839, 'grad_norm': 5983801.5, 'learning_rate': 9.44623180672739e-06, 'epoch': 0.18}
{'loss': 20.4437, 'grad_norm': 2093819.75, 'learning_rate': 9.446019431747085e-06, 'epoch': 0.18}
{'loss': 21.2214, 'grad_norm': 37560176.0, 'learning_rate': 9.445807018439055e-06, 'epoch': 0.18}
{'loss': 20.3071, 'grad_norm': 1402479.25, 'learning_rate': 9.445594566805126e-06, 'epoch': 0.18}
{'loss': 20.2709, 'grad_norm': 6532014.0, 'learning_rate': 9.445382076847134e-06, 'epoch': 0.18}
{'loss': 20.5905, 'grad_norm': 5461852.5, 'learning_rate': 9.445169548566908e-06, 'epoch': 0.18}
{'loss': 19.5861, 'grad_norm': 5380035.0, 'learning_rate': 9.444956981966282e-06, 'epoch': 0.18}
{'loss': 20.2433, 'grad_norm': 9494790.0, 'learning_rate': 9.444744377047087e-06, 'epoch': 0.18}
{'loss': 20.0533, 'grad_norm': 4021787.0, 'learning_rate': 9.444531733811158e-06, 'epoch': 0.18}
{'loss': 19.8764, 'grad_norm': 12512788.0, 'learning_rate': 9.444319052260324e-06, 'epoch': 0.18}
{'loss': 20.0548, 'grad_norm': 10430174.0, 'learning_rate': 9.444106332396423e-06, 'epoch': 0.18}
{'loss': 19.4523, 'grad_norm': 22447522.0, 'learning_rate': 9.443893574221287e-06, 'epoch': 0.18}
{'loss': 20.9178, 'grad_norm': 17497836.0, 'learning_rate': 9.443680777736747e-06, 'epoch': 0.18}
{'loss': 20.1928, 'grad_norm': 6404362.5, 'learning_rate': 9.443467942944644e-06, 'epoch': 0.18}
{'loss': 20.2695, 'grad_norm': 6483671.0, 'learning_rate': 9.443255069846808e-06, 'epoch': 0.18}
{'loss': 20.0594, 'grad_norm': 7351301.5, 'learning_rate': 9.443042158445074e-06, 'epoch': 0.18}
{'loss': 21.1633, 'grad_norm': 3144249.0, 'learning_rate': 9.442829208741281e-06, 'epoch': 0.18}
{'loss': 19.83, 'grad_norm': 10347299.0, 'learning_rate': 9.442616220737263e-06, 'epoch': 0.18}
{'loss': 21.0616, 'grad_norm': 7048477.0, 'learning_rate': 9.442403194434852e-06, 'epoch': 0.18}
{'loss': 19.3606, 'grad_norm': 17891896.0, 'learning_rate': 9.44219012983589e-06, 'epoch': 0.18}
{'loss': 20.5463, 'grad_norm': 8502740.0, 'learning_rate': 9.441977026942211e-06, 'epoch': 0.18}
{'loss': 19.9712, 'grad_norm': 3270625.75, 'learning_rate': 9.441763885755655e-06, 'epoch': 0.18}
{'loss': 19.7914, 'grad_norm': 5485127.5, 'learning_rate': 9.441550706278055e-06, 'epoch': 0.18}
{'loss': 20.7541, 'grad_norm': 4765285.5, 'learning_rate': 9.441337488511253e-06, 'epoch': 0.18}
{'loss': 20.3473, 'grad_norm': 3823522.25, 'learning_rate': 9.441124232457083e-06, 'epoch': 0.18}
{'loss': 20.5478, 'grad_norm': 6554799.0, 'learning_rate': 9.440910938117387e-06, 'epoch': 0.18}
{'loss': 21.3187, 'grad_norm': 6932173.5, 'learning_rate': 9.440697605494002e-06, 'epoch': 0.18}
{'loss': 19.8867, 'grad_norm': 7877621.5, 'learning_rate': 9.440484234588767e-06, 'epoch': 0.18}
{'loss': 19.7033, 'grad_norm': 6961042.0, 'learning_rate': 9.440270825403524e-06, 'epoch': 0.18}
{'loss': 20.021, 'grad_norm': 9140746.0, 'learning_rate': 9.440057377940108e-06, 'epoch': 0.18}
{'loss': 20.1165, 'grad_norm': 5934156.5, 'learning_rate': 9.439843892200362e-06, 'epoch': 0.18}
{'loss': 20.043, 'grad_norm': 4128853.75, 'learning_rate': 9.439630368186126e-06, 'epoch': 0.18}
{'loss': 21.1228, 'grad_norm': 31365294.0, 'learning_rate': 9.439416805899242e-06, 'epoch': 0.18}
{'loss': 20.1184, 'grad_norm': 8901884.0, 'learning_rate': 9.439203205341546e-06, 'epoch': 0.18}
{'loss': 20.1219, 'grad_norm': 24926352.0, 'learning_rate': 9.438989566514889e-06, 'epoch': 0.18}
{'loss': 20.5764, 'grad_norm': 20783244.0, 'learning_rate': 9.438775889421102e-06, 'epoch': 0.18}
{'loss': 20.0649, 'grad_norm': 34823096.0, 'learning_rate': 9.438562174062034e-06, 'epoch': 0.18}
{'loss': 20.1423, 'grad_norm': 40120876.0, 'learning_rate': 9.438348420439525e-06, 'epoch': 0.18}
{'loss': 20.2707, 'grad_norm': 9871985.0, 'learning_rate': 9.438134628555418e-06, 'epoch': 0.18}
{'loss': 19.5812, 'grad_norm': 8995933.0, 'learning_rate': 9.437920798411555e-06, 'epoch': 0.18}
{'loss': 19.5683, 'grad_norm': 34883580.0, 'learning_rate': 9.437706930009783e-06, 'epoch': 0.18}
{'loss': 20.4322, 'grad_norm': 3874971.75, 'learning_rate': 9.437493023351941e-06, 'epoch': 0.18}
